Nome,Preço T,Preço D,Categoria
Presente Natura Meu Primeiro Humor,"R$ 206,44","R$ 144,90",Humor
Presente Natura Luna Absoluta,"R$ 235,80","R$ 159,90",Luna
Natura Homem Elo Deo Parfum,"R$ 187,90","R$ 129,90",Natura Homem
Batom CC Hidratante FPS 25,"R$ 54,90","R$ 46,50",Una
Naturé Desenho nas Nuvens Água de Colônia,"R$ 87,90","R$ 49,90",Naturé
"Sabonete em Barra Puro Vegetal Cremoso e Esfoliante Ekos Tukumã 
","R$ 33,90","R$ 27,10",Ekos
Presente Natura Kaiak Extremo,"R$ 233,70","R$ 159,90",Kaiak
Natura Homem Neo Deo Parfum,"R$ 187,90","R$ 112,90",Natura Homem
Refil Essencial Oud Deo Parfum Masculino,"R$ 186,00","R$ 111,90",Essencial
Sabonete Líquido em Gel Tododia Tâmara e Canela,"R$ 41,90","R$ 21,00",Tododia
Presente Natura Ilía,"R$ 245,80","R$ 159,90",Ilía
Kaiak Aero Desodorante Colônia Masculino,"R$ 155,90","R$ 104,90",Kaiak
Sabonete Sortido Puro Vegetal,"R$ 31,30","R$ 25,00",Erva Doce
Sabonete em Barra Puro Vegetal Tododia Amora Vermelha e Jabuticaba,"R$ 28,90","R$ 24,50",Tododia
Essencial Ato Deo Parfum Masculino ,"R$ 239,00","R$ 154,90",Essencial
Kit Kaiak Aero Desodorante Colônia Masculino,"R$ 311,80","R$ 187,00",Kaiak
Presente Natura Humor a Rigor Masculino,"R$ 226,70","R$ 144,90",Humor
Polpa Hidratante Para Mãos Ekos Tukumã,"R$ 52,50","R$ 26,30",Ekos
Refil Creme Desodorante Nutritivo para o Corpo Tododia Algodão,"R$ 47,50","R$ 32,90",Tododia
Tododia  Amora Vermelha e Jabuticaba Body Splash Desodorante Colônia Feminino ,"R$ 69,90","R$ 48,90",Tododia
Biografia Encontros Desodorante Colônia Feminino,"R$ 169,90","R$ 109,90",Biografia
Naturé Subindo na Árvore Água de Colônia,"R$ 87,90","R$ 49,90",Naturé
Conjunto Polpa Desodorante Hidratante Corporal Ekos Buriti com Refil,"R$ 146,00","R$ 87,50",Ekos
Refil Creme Antissinais 70+ Noite,"R$ 108,90","R$ 54,45",Chronos
Presente Luna Radiante,"R$ 111,04","R$ 74,90",Luna
Refil Shampoo Revitalização Pós-química Natura Plant,"R$ 23,90","R$ 17,50",Plant
Presente Natura Ekos Madeira em Flor,"R$ 163,80","R$ 119,90",Ekos
Presente Natura Essencial Elixir Feminino,"R$ 292,40","R$ 189,90",Essencial
Ekos Frescor Tukumã Desodorante Colônia Feminino,"R$ 77,90","R$ 46,90",Ekos
Presente Natura Tododia Sabonetes Boas Vibrações,"R$ 33,50","R$ 28,90",Tododia
Presente Natura Luna,"R$ 219,20","R$ 159,90",Luna
Presente Natura Trio de Desodorantes Masculinos,"R$ 134,70","R$ 84,90",Kaiak
Sorbet Desodorante Nutritivo Tododia Acerola e Hibisco,"R$ 65,90","R$ 39,50",Tododia
Sérum Intensivo Multiclareador Chronos,"R$ 176,50","R$ 104,70",Chronos
Refil Condicionador Revitalização Pós-química Plant,"R$ 25,90","R$ 18,50",Plant
Sabonete em Barra Puro Vegetal Ekos Esfoliante,"R$ 35,90","R$ 31,90",Ekos
Sacola de Presente Natura PP,"R$ 4,00","R$ 3,00",
Polpa Hidratante para as Mãos Ekos Andiroba,"R$ 52,50","R$ 26,30",Ekos
Conjunto Todanoite Creme Noturno Chá de Camomila e Lavanda,"R$ 113,40","R$ 69,90",Tododia
Tododia Capim Limão e Hortelã Body Splash Desodorante Colônia,"R$ 69,90","R$ 48,90",Tododia
Kriska Romance Desodorante Colônia Feminino,"R$ 129,90","R$ 99,99",Kriska
Presente Natura Biografia Inspire Feminino,"R$ 229,90","R$ 154,90",Biografia
Luna Absoluta Desodorante Colônia,"R$ 157,90","R$ 126,32",Luna
Kit Águas Lírio Desodorante Colônia Feminino,"R$ 181,80","R$ 99,80",Águas
Kit Natura Lumina Verão,"R$ 168,70","R$ 98,90",Lumina
Kit Refil Creme Antissinais 70+ Dia Chronos,"R$ 217,80","R$ 129,80",Chronos
Presente Natura Tododia Noz Pecã e Cacau,"R$ 51,30","R$ 39,90",Tododia
Kaiak Oceano Desodorante Colônia Feminino,"R$ 155,90","R$ 77,95",Kaiak
Desodorante Antitranspirante  Roll-on Tododia Flor de Lis,"R$ 29,90","R$ 14,95",Tododia
Combo Naturé Tóin Óin Óin Cabelos Cacheados,"R$ 101,70","R$ 81,30",Naturé
Refil Gel Creme Antissinais 45+ Noite,"R$ 108,90","R$ 74,90",Chronos
Condicionador Mamãe e Bebê,"R$ 39,90","R$ 33,90",Mamãe e Bebê
Sabonete em Barra Puro Vegetal Tododia Ameixa e Flor de Baunilha,"R$ 28,90","R$ 26,00",Tododia
Desodorante Antitranspirante Roll-on Tododia Manga Rosa e Água de Coco,"R$ 25,90","R$ 14,95",Tododia
Ekos Frescor Castanha Desodorante Colônia Feminino,"R$ 103,90","R$ 61,90",Ekos
Protetor Antioleosidade Redutor de Poros FPS 30 / FPUVA 10 Chronos,"R$ 89,90","R$ 69,90",Chronos
Kit Óleo Trifásico Desodorante Corporal Ekos Buriti,"R$ 149,80","R$ 83,90",Ekos
Sérum Preenchedor Biohidratante Chronos,"R$ 176,50","R$ 105,90",Chronos
Sabonete em Barra Puro Vegetal Cremoso e Esfoliante Ekos,"R$ 35,90","R$ 31,90",Ekos
Presente Natura Tododia Todanoite,"R$ 122,40","R$ 89,90",Tododia
Batom Matte Faces,"R$ 19,90","R$ 19,90",Faces
Desodorante Antitranspirante em Creme Tododia Sem Perfume,"R$ 27,90","R$ 19,40",Tododia
Sabonete em Barra Bololô Natura Naturé ,"R$ 31,90","R$ 19,90",Naturé
Conjunto Óleo Trifásico Desodorante Corporal Ekos Maracujá com Refil,"R$ 149,80","R$ 83,90",Ekos
Kit Shampoo Reestruturante Refil Lumina para Cabelos Quimicamente Danificados ,"R$ 73,80","R$ 41,90",Lumina
